Saison,(grave),?,A,A?,As,B,C,D,E,E+e,Es,F,F?,G,G?,a,a/C,c,d,d?,e,f,g,g+G,h,h/D,h?,only B,senza acc
#Nv,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advent,0,1,7,0,0,48,46,53,2,0,7,55,0,52,0,15,0,15,18,0,19,2,18,1,3,0,0,0,0
Epiphanias,0,0,7,0,0,59,46,79,3,0,4,51,0,54,0,14,0,16,23,0,16,1,31,0,1,0,0,1,0
Fastenzeit,0,1,5,0,0,60,37,78,4,0,13,47,0,82,0,20,0,20,18,0,29,3,35,0,3,0,0,0,0
Karwoche,0,2,2,0,0,30,22,38,4,0,9,35,0,29,0,15,0,17,10,0,8,0,24,0,0,0,0,0,0
Marienfeste,0,1,3,0,0,30,19,42,3,0,1,32,0,44,0,9,0,3,11,0,12,1,11,0,1,0,0,0,0
Ostern,0,2,16,1,0,82,79,168,5,0,6,102,0,134,0,29,0,21,62,0,40,0,69,0,8,0,0,0,1
Other,0,7,9,0,0,14,54,110,0,0,2,44,1,54,0,9,1,1,4,0,6,0,7,0,4,1,1,0,0
Pfingsten,0,0,8,0,0,24,34,57,6,0,3,33,1,46,0,6,0,5,9,0,9,0,27,0,1,0,0,0,0
Trinitatis,1,4,47,0,4,307,200,328,15,1,34,287,0,283,1,79,0,123,118,1,102,7,218,0,9,0,0,0,0
Vorfastenzeit,0,1,4,0,0,35,35,34,0,0,6,35,0,40,0,23,0,17,19,0,8,0,23,0,2,0,0,0,0
Weihnachtszeit,0,0,7,0,0,21,48,94,3,0,1,45,0,73,0,19,0,4,16,0,7,1,15,0,6,1,0,0,0
